PM1012s	TPZ0713a	IRV1012s	HH0512a	HH0812s	HH0912s	HH1013a	HH1013s	PRA1013a	SV0512a	SV0812s	SV0912s	SV1013a	RI812s	WFM812s	AB812s	NTC1013a	Cv5785
  0.000000	  3.616081	  5.838705	 11.677439	 11.677439	 11.677439	 11.677439	 11.677439	 64.088148	 32.227451	 32.227451	 32.227451	 32.227451	 35.032664	 36.954621	 41.436965	 42.548216	103.325438
  3.616081	  0.000000	  2.222623	  8.061512	  8.061512	  8.061512	  8.061512	  8.061512	 60.477162	 29.175865	 29.175865	 29.175865	 29.175865	 31.417355	 33.903344	 37.822121	 38.933371	105.829208
  5.838705	  2.222623	  0.000000	  5.839043	  5.839043	  5.839043	  5.839043	  5.839043	 58.259632	 26.953396	 26.953396	 26.953396	 26.953396	 29.195505	 31.681030	 35.600734	 36.711985	106.939829
 11.677439	  8.061512	  5.839043	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000	 52.430464	 21.680240	 21.680240	 21.680240	 21.680240	 23.357698	 26.408337	 29.763854	 30.875104	110.556105
 11.677439	  8.061512	  5.839043	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000	 52.430464	 21.680240	 21.680240	 21.680240	 21.680240	 23.357698	 26.408337	 29.763854	 30.875104	110.556105
 11.677439	  8.061512	  5.839043	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000	 52.430464	 21.680240	 21.680240	 21.680240	 21.680240	 23.357698	 26.408337	 29.763854	 30.875104	110.556105
 11.677439	  8.061512	  5.839043	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000	 52.430464	 21.680240	 21.680240	 21.680240	 21.680240	 23.357698	 26.408337	 29.763854	 30.875104	110.556105
 11.677439	  8.061512	  5.839043	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000	 52.430464	 21.680240	 21.680240	 21.680240	 21.680240	 23.357698	 26.408337	 29.763854	 30.875104	110.556105
 64.088148	 60.477162	 58.259632	 52.430464	 52.430464	 52.430464	 52.430464	 52.430464	  0.000000	 39.746644	 39.746644	 39.746644	 39.746644	 34.130830	 38.394613	 28.847287	 28.297746	159.116972
 32.227451	 29.175865	 26.953396	 21.680240	 21.680240	 21.680240	 21.680240	 21.680240	 39.746644	  0.000000	  0.000000	  0.000000	  0.000000	  5.616955	  4.729409	 10.907722	 11.459542	119.452379
 32.227451	 29.175865	 26.953396	 21.680240	 21.680240	 21.680240	 21.680240	 21.680240	 39.746644	  0.000000	  0.000000	  0.000000	  0.000000	  5.616955	  4.729409	 10.907722	 11.459542	119.452379
 32.227451	 29.175865	 26.953396	 21.680240	 21.680240	 21.680240	 21.680240	 21.680240	 39.746644	  0.000000	  0.000000	  0.000000	  0.000000	  5.616955	  4.729409	 10.907722	 11.459542	119.452379
 32.227451	 29.175865	 26.953396	 21.680240	 21.680240	 21.680240	 21.680240	 21.680240	 39.746644	  0.000000	  0.000000	  0.000000	  0.000000	  5.616955	  4.729409	 10.907722	 11.459542	119.452379
 35.032664	 31.417355	 29.195505	 23.357698	 23.357698	 23.357698	 23.357698	 23.357698	 34.130830	  5.616955	  5.616955	  5.616955	  5.616955	  0.000000	  7.564916	  6.409859	  7.521110	125.040029
 36.954621	 33.903344	 31.681030	 26.408337	 26.408337	 26.408337	 26.408337	 26.408337	 38.394613	  4.729409	  4.729409	  4.729409	  4.729409	  7.564916	  0.000000	  9.550114	 10.101427	120.843347
 41.436965	 37.822121	 35.600734	 29.763854	 29.763854	 29.763854	 29.763854	 29.763854	 28.847287	 10.907722	 10.907722	 10.907722	 10.907722	  6.409859	  9.550114	  0.000000	  1.111251	130.342518
 42.548216	 38.933371	 36.711985	 30.875104	 30.875104	 30.875104	 30.875104	 30.875104	 28.297746	 11.459542	 11.459542	 11.459542	 11.459542	  7.521110	 10.101427	  1.111251	  0.000000	130.900199
103.325438	105.829208	106.939829	110.556105	110.556105	110.556105	110.556105	110.556105	159.116972	119.452379	119.452379	119.452379	119.452379	125.040029	120.843347	130.342518	130.900199	  0.000000
