bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
AB812s_002-RG.bam.depth.gz	0.369327124274653	8.66349181159366	101.326407072455	0.00305910281427494	0	0.00364492470369268
AB812s_004-RG.bam.depth.gz	0.291275582260653	6.83454801937549	81.4872347388665	0.00242399938865084	0	0.00357449339389482
AB812s_005-RG.bam.depth.gz	0.473421152051138	12.500343588161	106.613587261995	0.0055673550419473	0	0.00444053299592511
AB812s_008-RG.bam.depth.gz	0.335902844014181	8.50571864447715	93.6470826783147	0.00312864860808502	0	0.00358690131510003
AB812s_009-RG.bam.depth.gz	0.317881641178591	7.64002709772106	85.7501173020413	0.0028924569218144	0	0.00370706946159337
AB812s_011-RG.bam.depth.gz	0.412451866510342	10.0848977668947	99.9933591658806	0.00421619991762937	0	0.00412479258573665
AB812s_012-RG.bam.depth.gz	0.483819204705683	11.1848835270909	125.956056018226	0.00395469368724246	0	0.00384117461280203
AB812s_013-RG.bam.depth.gz	0.506716018102122	12.2330429080596	131.438793322908	0.00427269165756871	0	0.00385514812858492
AB812s_014-RG.bam.depth.gz	0.447569771058043	10.7491451642192	116.622521652068	0.00391797661268768	0	0.00383776447909038
AB812s_015-RG.bam.depth.gz	0.24402134335364	5.70396672253615	69.7110928371494	0.0020204987138389	0	0.00350046647416201
AB812s_017-RG.bam.depth.gz	0.37827992575197	9.46287276537073	101.439602038682	0.00364263596318798	0	0.00372911484419609
AB812s_018-RG.bam.depth.gz	0.436485741163134	11.1216588974772	117.172026801918	0.00401490654383272	0	0.00372517018845512
AB812s_019-RG.bam.depth.gz	0.475402274707136	11.2194189394429	125.461411243528	0.00404485739603051	0	0.00378923104718222
AB812s_020-RG.bam.depth.gz	0.488474966064109	11.6629869428654	113.297480068723	0.00544116171608351	0	0.00431143716318796
AB812s_021-RG.bam.depth.gz	0.505176093725908	12.7196378312111	132.637044152129	0.00441362939768218	0	0.00380871043195566
AB812s_022-RG.bam.depth.gz	0.194793966030199	4.59717387874451	55.5582273862157	0.00168301846443274	0	0.00350612276875097
AB812s_024-RG.bam.depth.gz	0.29779254932476	7.62349908424995	83.8713127366913	0.00274766469084505	0	0.0035505888677311
AB812s_027-RG.bam.depth.gz	0.303635968976892	7.70757930273181	84.1326687110358	0.00272352576432466	0	0.00360901387806709
AB812s_029-RG.bam.depth.gz	0.108632360778057	2.7893214954798	30.206940802525	0.00146163184303558	0	0.00359627151548287
AB812s_030-RG.bam.depth.gz	0.247392937442808	6.2261164263646	69.7058100021644	0.00222105204696544	0	0.00354910067661668
AB812s_031-RG.bam.depth.gz	0.163117266112445	4.18367312869899	45.6880880756402	0.00177462111240984	0	0.00357023620341539
AB812s_032-RG.bam.depth.gz	0.100975661307617	2.33630184149692	31.017870825804	0.000824238593656353	0	0.00325540272814552
FI1012_001-RG.bam.depth.gz	0.126863008622691	3.88654758361024	30.2436036299511	0.00259482361860011	0	0.00419470543837492
FI1012_001r-RG.bam.depth.gz	0.113942118601406	3.10616508728422	34.6682980520689	0.00134479173101624	0	0.00328663721623591
FI1012_002-RG.bam.depth.gz	0.0715957412111887	2.03811253266763	19.1541614310809	0.00158210935564805	0	0.00373786873775824
FI1012_003-RG.bam.depth.gz	0.209416328757766	5.8025821871543	42.4265246771906	0.00413976035924592	0	0.00493597649939724
FI1012_005-RG.bam.depth.gz	0.025374896956286	0.650434877404625	7.97084403388577	0.000503688706353716	0	0.0031834642414781
FI1012_006-RG.bam.depth.gz	0.0128837918555745	0.34927017686593	4.58521788755981	0	0	0.00280985378918081
FI1012_007-RG.bam.depth.gz	0.05404419338176	1.41728938598065	14.8629651987795	0.00105123125240639	0	0.00363616496835971
FI1012_008-RG.bam.depth.gz	0.144029481524468	3.58250107989538	32.6867576778913	0.00278149978385397	0	0.00440635571578806
FI1012_009-RG.bam.depth.gz	0.0952442619921511	2.38460720282241	23.2154138821837	0.00183630359286243	0	0.00410263036771768
FI1012_010-RG.bam.depth.gz	0.17502995995968	5.15914706285034	37.6707265669865	0.00367820749271502	0	0.00464631229367194
FI1012_011-RG.bam.depth.gz	0.372018606262117	11.4457011068443	104.286511738731	0.00469640707100296	0	0.00356727442561358
FI1012_012-RG.bam.depth.gz	0.460715960654148	12.4320740898392	129.916650914238	0.00468770021259945	0	0.00354624259024679
FI1012_013-RG.bam.depth.gz	0.373774089060189	10.6877837796254	109.431874680917	0.0040606882054655	0	0.00341558700470276
FI1012_014-RG.bam.depth.gz	0.161592860400247	5.19765334143897	49.2818566197676	0.00216102746624856	0	0.0032789523667324
FI1012_015-RG.bam.depth.gz	0.109663201116012	2.88088216505739	32.0692990402146	0.00144932819208841	0	0.00341956963195401
FI1012_016-RG.bam.depth.gz	0.119463398183375	3.93821595676446	36.633609012825	0.00160111203924866	0	0.00326103273476583
FI1012_017-RG.bam.depth.gz	0.140857399973573	3.85723334398587	41.6974921867265	0.00154323387460071	0	0.00337807845476002
FI1012_018-RG.bam.depth.gz	0.141170261851207	3.63959394303494	41.8557397861978	0.00158399903188644	0	0.00337278142907602
