Group,Ind,P1,P2
FI1012,FI1012-001,0,1
FI1012,FI1012-001r,0,1
FI1012,FI1012-002,0,1
FI1012,FI1012-005,0,1
FI1012,FI1012-007,0,1
FI1012,FI1012-010,0,1
FI1012,FI1012-011,0.004,0.996
FI1012,FI1012-012,0,1
FI1012,FI1012-013,0,1
FI1012,FI1012-014,0,1
FI1012,FI1012-016,0,1
FI1012,FI1012-019,0.005,0.995
FI1012,FI1012-020,0,1
FIS1013a,FIS1013a-00,0.099,0.901
FIS1013a,FIS1013a-00,0.065,0.935
FIS1013a,FIS1013a-00,0.267,0.733
FIS1013a,FIS1013a-00,0.01,0.99
FIS1013a,FIS1013a-00,0.147,0.853
FIS1013a,FIS1013a-01,0.087,0.913
FIS1013a,FIS1013a-01,0.105,0.895
FIS1013a,FIS1013a-01,0.192,0.808
FIS1013a,FIS1013a-01,0.284,0.716
FIS1013a,FIS1013a-01,0.007,0.993
FIS1013a,FIS1013a-02,0.002,0.998
FIS1013a,FIS1013a-02,0.132,0.868
FIS1013a,FIS1013a-02,0.112,0.888
FIS1013a,FIS1013a-02,0.076,0.924
PM1012,PM1012-01,0.999,0.001
PM1012,PM1012-02,0.999,0.001
PM1012,PM1012-04,1,0
PM1012,PM1012-06,0.997,0.003
PM1012,PM1012-07,0.999,0.001
PM1012,PM1012-09,0.998,0.002
PM1012,PM1012-10,0.999,0.001
PM1012,PM1012-13,1,0
PM1012,PM1012-14,0.997,0.003
PM1012,PM1012-16,0.999,0.001
PM1012,PM1012-17,1,0
PM1012,PM1012-23,0.999,0.001
PM1012,PM1012-24,1,0
PM1012,PM1012-25,0.999,0.001
PM1012,PM1012-26,0.998,0.002
PM1012,PM1012-27,0.983,0.017
TPZ0713,TPZ0713-001,1,0
TPZ0713,TPZ0713-002,0.999,0.001
TPZ0713,TPZ0713-003,0.999,0.001
TPZ0713,TPZ0713-005,0.996,0.004
TPZ0713,TPZ0713-006,0.994,0.006
TPZ0713,TPZ0713-007,1,0
TPZ0713,TPZ0713-009,0.999,0.001
TPZ0713,TPZ0713-011,1,0
TPZ0713,TPZ0713-012,0.999,0.001
TPZ0713,TPZ0713-013,0.999,0.001
TPZ0713,TPZ0713-014,0.999,0.001
TPZ0713,TPZ0713-015,0.999,0.001
TPZ0713,TPZ0713-016,0.999,0.001
TPZ0713,TPZ0713-020,0.999,0.001
TPZ0713,TPZ0713-021,0.994,0.006
TPZ0713,TPZ0713-023,0.999,0.001
TPZ0713,TPZ0713-024,1,0
TPZ0713,TPZ0713-025,0.999,0.001
TPZ0713,TPZ0713-028,1,0
TPZ0713,TPZ0713-029,0.996,0.004
IRV1012,IRV1012-001,0.991,0.009
IRV1012,IRV1012-002,0.999,0.001
IRV1012,IRV1012-003,0.999,0.001
IRV1012,IRV1012-004,0.999,0.001
IRV1012,IRV1012-006,0.999,0.001
IRV1012,IRV1012-007,0.999,0.001
IRV1012,IRV1012-008,0.999,0.001
IRV1012,IRV1012-009,0.999,0.001
IRV1012,IRV1012-010,0.999,0.001
IRV1012,IRV1012-011,0.999,0.001
IRV1012,IRV1012-012,0.999,0.001
IRV1012,IRV1012-013,0.998,0.002
IRV1012,IRV1012-014,0.999,0.001
IRV1012,IRV1012-015,0.999,0.001
IRV1012,IRV1012-016,0.999,0.001
IRV1012,IRV1012-017,0.999,0.001
IRV1012,IRV1012-018,0.999,0.001
IRV1012,IRV1012-019,0.998,0.002
IRV1012,IRV1012-020,0.999,0.001
IRV1012,IRV1012-021,0.998,0.002
IRV1012,IRV1012-022,1,0
IRV1012,IRV1012-023,0.999,0.001
IRV1012,IRV1012-024,0.995,0.005
HH0512a,HH0512a-001,0.999,0.001
HH0512a,HH0512a-002,1,0
HH0512a,HH0512a-004,0.999,0.001
HH0512a,HH0512a-006,1,0
HH0512a,HH0512a-007,0.998,0.002
HH0512a,HH0512a-009,0.998,0.002
HH0512a,HH0512a-010,1,0
HH0512a,HH0512a-012,0.999,0.001
HH0512a,HH0512a-013,0.996,0.004
HH0512a,HH0512a-015,0.998,0.002
HH0512a,HH0512a-017,0.994,0.006
HH0512a,HH0512a-018,1,0
HH0512a,HH0512a-020,1,0
HH0512a,HH0512a-021,0.999,0.001
HH0512a,HH0512a-022,0.999,0.001
HH0512a,HH0512a-023,1,0
HH0512a,HH0512a-029,0.996,0.004
HH1013a,HH1013a-001,0.999,0.001
HH1013a,HH1013a-002,0.999,0.001
HH1013a,HH1013a-003,0.995,0.005
HH1013a,HH1013a-005,0.998,0.002
HH1013a,HH1013a-006,0.999,0.001
HH1013a,HH1013a-007,1,0
HH1013a,HH1013a-009,0.998,0.002
HH1013a,HH1013a-010,0.997,0.003
HH1013a,HH1013a-011,0.999,0.001
HH1013a,HH1013a-012,0.999,0.001
HH1013a,HH1013a-013,0.998,0.002
HH1013a,HH1013a-014,0.999,0.001
HH1013a,HH1013a-015,0.999,0.001
HH1013a,HH1013a-016,0.997,0.003
HH1013a,HH1013a-017,0.999,0.001
HH1013a,HH1013a-018,0.993,0.007
HH1013a,HH1013a-019,0.998,0.002
HH1013a,HH1013a-020,0.999,0.001
HH1013a,HH1013a-021,0.999,0.001
HH1013a,HH1013a-022,0.99,0.01
HH1013a,HH1013a-023,0.999,0.001
HH1013a,HH1013a-024,0.998,0.002
HH1013s,HH1013s-001,0.997,0.003
HH1013s,HH1013s-002,0.998,0.002
HH1013s,HH1013s-003,0.994,0.006
HH1013s,HH1013s-005,1,0
HH1013s,HH1013s-006,0.998,0.002
HH1013s,HH1013s-007,0.999,0.001
HH1013s,HH1013s-008,1,0
HH1013s,HH1013s-009,0.999,0.001
HH1013s,HH1013s-010,0.999,0.001
HH1013s,HH1013s-011,0.998,0.002
HH1013s,HH1013s-012,1,0
HH1013s,HH1013s-013,1,0
HH1013s,HH1013s-014,0.999,0.001
HH1013s,HH1013s-016,0.999,0.001
HH1013s,HH1013s-017,0.998,0.002
HH1013s,HH1013s-018,0.999,0.001
HH1013s,HH1013s-019,0.999,0.001
