bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
NEH_10.F.bam.depth.gz	17.6469451021549	32.464737218306	25.7979229446593	16.3522901369351	13	0.68404518999478
NEH_1.F.bam.depth.gz	9.25181670407626	13.5400653298614	13.4008753208648	8.64279974131718	8	0.690388984492253
NEH_2.F.bam.depth.gz	10.9066530716713	15.6094806722512	15.7335280051366	10.2348973857989	10	0.69321089765182
NEH_3.F.bam.depth.gz	15.1909088612567	23.443347130776	21.735399647144	14.1979298151067	13	0.698901750502126
NEH_4.F.bam.depth.gz	16.6643703633306	27.447034294564	23.4311964666981	15.6414184580683	14	0.711204414465959
NEH_5.F.bam.depth.gz	9.34932896421377	14.9612240583683	13.5164002170198	8.77806657112404	8	0.691702584571494
NEH_6.F.bam.depth.gz	10.5480719948802	17.231093358185	15.3475828675686	9.83739844655843	8	0.687279038393032
NEH_7.F.bam.depth.gz	21.6013069248636	33.6698478121932	31.3193977469542	19.9244443047281	19	0.689710162991699
NEH_8.F.bam.depth.gz	16.0401905302194	32.8701210051891	23.2730029429398	14.6514441717604	10	0.689218772908292
NEH_9.F.bam.depth.gz	13.9595185642145	32.4120195325473	20.3311120839441	11.7948468555893	7	0.686608706232116
