bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
UMFS_10.F.bam.depth.gz	16.5289931905436	25.1162589244043	24.5890885924595	15.1165563224976	14	0.672208452476656
UMFS_11.F.bam.depth.gz	15.5603141615303	23.4708596459695	22.6715836303144	14.2757863162417	13	0.686335565051673
UMFS_1.F.bam.depth.gz	9.02598975623726	16.6811750292295	13.4672480358512	8.26011357329092	6	0.670217830116961
UMFS_2.F.bam.depth.gz	10.8024701694245	17.0103116223492	15.9079990526737	9.97549800587067	9	0.67905901513192
UMFS_3.F.bam.depth.gz	14.4046100105196	20.9590611917051	20.9209250507083	13.2457051113945	12	0.68852643827172
UMFS_4.F.bam.depth.gz	13.2692098115088	19.1632854841063	19.2190986316034	12.2191865449028	11	0.690417904910774
UMFS_5.F.bam.depth.gz	10.2246740610554	16.8860896263316	15.1080026529128	9.47223039495526	8	0.676772058885296
UMFS_6.F.bam.depth.gz	10.4710604384757	15.4465146919551	15.3239759744711	9.67924108556374	9	0.683312245850668
UMFS_8.F.bam.depth.gz	11.7945123416014	19.020741326882	17.5328491439968	10.8903082716434	10	0.672709395075214
UMFS_9.F.bam.depth.gz	22.2686853008788	34.6011434371657	32.563905882163	20.3383580191198	19	0.683845647431302
