prefix	lane_number	seq_id	sample_id	population	data_type
Cv5785_01_CKDL210000056-1a-7UDI2744-AK11866_HNMTKDSXY_L4	4	1	Cv5785_01	NY	pe
Cv5785_02_CKDL210000056-1a-AK17133-AK11480_HNMTKDSXY_L4	4	1	Cv5785_02	NY	pe
Cv5785_03_CKDL210000056-1a-AK14337-AK17423_HNMTKDSXY_L4	4	1	Cv5785_03	NY	pe
Cv5785_04_CKDL210000056-1a-AK19836-AK12649_HNMTKDSXY_L4	4	1	Cv5785_04	NY	pe
Cv5785_05_CKDL210000056-1a-AK17010-AK11581_HNMTKDSXY_L4	4	1	Cv5785_05	NY	pe
Cv5785_06_CKDL210000056-1a-AK11652-AK11154_HNMTKDSXY_L4	4	1	Cv5785_06	NY	pe
Cv5785_07_CKDL210000056-1a-AK3948-AK9674_HNMTKDSXY_L4	4	1	Cv5785_07	NY	pe
Cv5785_08_CKDL210000056-1a-AK11355-AK11272_HNMTKDSXY_L4	4	1	Cv5785_08	NY	pe
Cv5785_09_CKDL210000056-1a-AK11235-AK17429_HNMTKDSXY_L4	4	1	Cv5785_09	NY	pe
Cv5785_10_CKDL210000056-1a-AK19837-AK11579_HNMTKDSXY_L4	4	1	Cv5785_10	NY	pe
Cv5785_11_CKDL210000056-1a-AK11262-AK17431_HNMTKDSXY_L4	4	1	Cv5785_11	NY	pe
Cv5785_12_CKDL210000056-1a-7UDI481-AK17432_HNMTKDSXY_L4	4	1	Cv5785_12	NY	pe
Cv5785_13_CKDL210000056-1a-AK19838-AK17436_HNMTKDSXY_L4	4	1	Cv5785_13	NY	pe
Cv5785_14_CKDL210000056-1a-AK11594-AK17438_HNMTKDSXY_L4	4	1	Cv5785_14	NY	pe
Cv5785_15_CKDL210000056-1a-AK19839-AK11236_HNMTKDSXY_L4	4	1	Cv5785_15	NY	pe
Cv5785_16_CKDL210000056-1a-AK17401-AK11574_HNMTKDSXY_L4	4	1	Cv5785_16	NY	pe
Cv5785_17_CKDL210000056-1a-AK11242-AK11523_HNMTKDSXY_L4	4	1	Cv5785_17	NY	pe
