simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep01	AQ	0.9890433333333333	4.8410116091953954e-4	0	eq10400_s280	single0.1	1	10
rep02	AQ	0.9941533333333333	2.420446436781613e-4	0	eq10400_s280	single0.1	1	10
rep03	AQ	0.99678	6.788441379310344e-5	0	eq10400_s280	single0.1	1	10
rep04	AQ	0.9928733333333334	2.711282298850576e-4	0	eq10400_s280	single0.1	1	10
rep05	AQ	0.9902766666666667	8.882018505747136e-4	0	eq10400_s280	single0.1	1	10
rep06	AQ	0.9981033333333333	9.33826436781597e-6	0	eq10400_s280	single0.1	1	10
rep07	AQ	0.9930233333333334	2.5459357471264353e-4	0	eq10400_s280	single0.1	1	10
rep08	AQ	0.9948266666666666	2.774785747126441e-4	0	eq10400_s280	single0.1	1	10
rep09	AQ	0.9965433333333333	1.1794322988505741e-4	0	eq10400_s280	single0.1	1	10
rep10	AQ	0.9935766666666667	4.2057288505747e-4	0	eq10400_s280	single0.1	1	10
rep01	W1	0.0017599999999999996	1.1747310344827586e-5	0.9333333333333333	eq10400_s280	single0.1	1	10
rep02	W1	0.004279999999999999	3.7573379310344826e-5	0.7666666666666667	eq10400_s280	single0.1	1	10
rep03	W1	0.009836666666666664	5.300941264367815e-4	0.8	eq10400_s280	single0.1	1	10
rep04	W1	0.003283333333333332	3.3284885057471236e-5	0.8333333333333334	eq10400_s280	single0.1	1	10
rep05	W1	0.009333333333333332	5.122216091954022e-4	0.7	eq10400_s280	single0.1	1	10
rep06	W1	0.038829999999999996	0.03205025734482759	0.7666666666666667	eq10400_s280	single0.1	1	10
rep07	W1	0.00907333333333333	4.249834022988504e-4	0.8	eq10400_s280	single0.1	1	10
rep08	W1	0.037033333333333335	0.03314046436781609	0.8666666666666667	eq10400_s280	single0.1	1	10
rep09	W1	0.013126666666666665	9.05779264367816e-4	0.7	eq10400_s280	single0.1	1	10
rep10	W1	0.03641333333333333	0.033087953609195406	0.8333333333333334	eq10400_s280	single0.1	1	10
rep01	W2	0.005573333333333331	1.0479650574712639e-4	0.8	eq10400_s280	single0.1	1	10
rep02	W2	0.004523333333333332	1.9815081609195396e-4	0.8333333333333334	eq10400_s280	single0.1	1	10
rep03	W2	0.00637	2.9980286206896553e-4	0.7666666666666667	eq10400_s280	single0.1	1	10
rep04	W2	0.004376666666666665	7.204529885057473e-5	0.8666666666666667	eq10400_s280	single0.1	1	10
rep05	W2	0.003013333333333332	2.2327402298850555e-5	0.8666666666666667	eq10400_s280	single0.1	1	10
rep06	W2	0.005816666666666666	1.4303109195402296e-4	0.8333333333333334	eq10400_s280	single0.1	1	10
rep07	W2	0.005043333333333333	1.31099091954023e-4	0.8333333333333334	eq10400_s280	single0.1	1	10
rep08	W2	0.005603333333333332	2.549230919540229e-4	0.8666666666666667	eq10400_s280	single0.1	1	10
rep09	W2	0.004736666666666667	0.00013430447126436786	0.9333333333333333	eq10400_s280	single0.1	1	10
rep10	W2	0.0031699999999999996	4.284562068965519e-5	0.8666666666666667	eq10400_s280	single0.1	1	10
rep01	AQ	0.9861833333333333	6.49507643678161e-4	0	eq10400_s280	single0.2	1	10
rep02	AQ	0.9943133333333334	2.192756781609196e-4	0	eq10400_s280	single0.2	1	10
rep03	AQ	0.995	1.6558068965517303e-4	0	eq10400_s280	single0.2	1	10
rep04	AQ	0.9944633333333334	1.991886091954022e-4	0	eq10400_s280	single0.2	1	10
rep05	AQ	0.9908966666666666	7.697589540229891e-4	0	eq10400_s280	single0.2	1	10
rep06	AQ	0.99709	2.862299999999991e-5	0	eq10400_s280	single0.2	1	10
rep07	AQ	0.99298	2.986526896551724e-4	0	eq10400_s280	single0.2	1	10
rep08	AQ	0.99585	2.5879224137931057e-4	0	eq10400_s280	single0.2	1	10
rep09	AQ	0.9976133333333334	5.890947126436836e-5	0	eq10400_s280	single0.2	1	10
rep10	AQ	0.99183	4.901663103448277e-4	0	eq10400_s280	single0.2	1	10
rep01	W1	0.013889999999999998	4.996788620689654e-4	0.6666666666666666	eq10400_s280	single0.2	1	10
