simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep01	AQ	0.9999933333333333	1.3333333333330396e-9	0	eq10400_s3270	cons0.001	21	10
rep02	AQ	1	0	0	eq10400_s3270	cons0.001	21	10
rep03	AQ	1	0	0	eq10400_s3270	cons0.001	21	10
rep04	AQ	1	0	0	eq10400_s3270	cons0.001	21	10
rep05	AQ	0.9999766666666666	1.6333333333334916e-8	0	eq10400_s3270	cons0.001	21	10
rep06	AQ	0.9999733333333334	2.1333333333334557e-8	0	eq10400_s3270	cons0.001	21	10
rep07	AQ	0.9998333333333334	8.333333333333348e-7	0	eq10400_s3270	cons0.001	21	10
rep08	AQ	1	0	0	eq10400_s3270	cons0.001	21	10
rep09	AQ	1	0	0	eq10400_s3270	cons0.001	21	10
rep10	AQ	1	0	0	eq10400_s3270	cons0.001	21	10
rep01	W1	0.001976666666666667	9.098667816091955e-5	0.7666666666666667	eq10400_s3270	cons0.001	21	10
rep02	W1	0.00145	3.852258620689655e-5	0.8	eq10400_s3270	cons0.001	21	10
rep03	W1	0.0016166666666666664	6.533454022988503e-5	0.9	eq10400_s3270	cons0.001	21	10
rep04	W1	8.333333333333333e-5	4.6264367816091956e-8	0.8666666666666667	eq10400_s3270	cons0.001	21	10
rep05	W1	0.007923333333333333	0.0012081797816091955	0.7666666666666667	eq10400_s3270	cons0.001	21	10
rep06	W1	0.012416666666666666	0.003245477988505747	0.7333333333333333	eq10400_s3270	cons0.001	21	10
rep07	W1	0.00241	7.82698965517241e-5	0.7666666666666667	eq10400_s3270	cons0.001	21	10
rep08	W1	1.8333333333333334e-4	1.2695402298850575e-7	0.7666666666666667	eq10400_s3270	cons0.001	21	10
rep09	W1	0.00032999999999999967	5.104482758620668e-7	0.7333333333333333	eq10400_s3270	cons0.001	21	10
rep10	W1	0.0021533333333333335	5.866464367816092e-5	0.8	eq10400_s3270	cons0.001	21	10
rep01	W2	7.000000000000001e-5	4.975862068965517e-8	0.9	eq10400_s3270	cons0.001	21	10
rep02	W2	1.5e-4	2.039655172413793e-7	0.8666666666666667	eq10400_s3270	cons0.001	21	10
rep03	W2	7.999999999999999e-5	1.4648275862068965e-7	0.9666666666666667	eq10400_s3270	cons0.001	21	10
rep04	W2	3.0666666666666635e-4	9.351264367816059e-7	0.8333333333333334	eq10400_s3270	cons0.001	21	10
rep05	W2	1.5333333333333334e-4	1.777471264367816e-7	0.8666666666666667	eq10400_s3270	cons0.001	21	10
rep06	W2	6.666666666666666e-4	3.4078160919540228e-6	0.7	eq10400_s3270	cons0.001	21	10
rep07	W2	8e-5	4.0965517241379316e-8	0.8666666666666667	eq10400_s3270	cons0.001	21	10
rep08	W2	1.6999999999999999e-4	2.47e-7	0.8666666666666667	eq10400_s3270	cons0.001	21	10
rep09	W2	1.1333333333333334e-4	9.774712643678161e-8	0.8666666666666667	eq10400_s3270	cons0.001	21	10
rep10	W2	2.2666666666666666e-4	2.7788505747126433e-7	0.8	eq10400_s3270	cons0.001	21	10
rep01	AQ	0.9999866666666667	5.3333333333321585e-9	0	eq10400_s3270	cons0.002	21	10
rep02	AQ	1	0	0	eq10400_s3270	cons0.002	21	10
rep03	AQ	1	0	0	eq10400_s3270	cons0.002	21	10
rep04	AQ	1	0	0	eq10400_s3270	cons0.002	21	10
rep05	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	cons0.002	21	10
rep06	AQ	0.9999833333333333	8.333333333331497e-9	0	eq10400_s3270	cons0.002	21	10
rep07	AQ	0.99983	8.669999999999978e-7	0	eq10400_s3270	cons0.002	21	10
