ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-1	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-1	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-1	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-1	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-1	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-1	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-1	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-1	W1	rep08	0.03789999999999999	eq10400_s3270	single0.1	6	10
W1-1	W1	rep09	3.0000000000000003e-4	eq10400_s3270	single0.1	6	10
W1-1	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-2	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-2	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-2	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-2	W1	rep04	0.02119999999999999	eq10400_s3270	single0.1	6	10
W1-2	W1	rep05	2e-4	eq10400_s3270	single0.1	6	10
W1-2	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-2	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-2	W1	rep08	7e-4	eq10400_s3270	single0.1	6	10
W1-2	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-2	W1	rep10	0.04719999999999999	eq10400_s3270	single0.1	6	10
W1-3	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-3	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-3	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-3	W1	rep04	0.0553	eq10400_s3270	single0.1	6	10
W1-3	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-3	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-3	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-3	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-3	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-3	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-4	W1	rep01	0.001	eq10400_s3270	single0.1	6	10
W1-4	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-4	W1	rep03	0.07020000000000001	eq10400_s3270	single0.1	6	10
W1-4	W1	rep04	0.0026	eq10400_s3270	single0.1	6	10
W1-4	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-4	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-4	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-4	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-4	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-4	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-5	W1	rep01	0.09049999999999998	eq10400_s3270	single0.1	6	10
W1-5	W1	rep02	4e-4	eq10400_s3270	single0.1	6	10
W1-5	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-5	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-5	W1	rep05	8e-4	eq10400_s3270	single0.1	6	10
W1-5	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-5	W1	rep07	0.1489	eq10400_s3270	single0.1	6	10
W1-5	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-5	W1	rep09	0.0011	eq10400_s3270	single0.1	6	10
W1-5	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-6	W1	rep01	0.1	eq10400_s3270	single0.1	6	10
W1-6	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-6	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-6	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-6	W1	rep05	0.04529999999999999	eq10400_s3270	single0.1	6	10
W1-6	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-6	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-6	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-6	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-6	W1	rep10	0.04289999999999999	eq10400_s3270	single0.1	6	10
W1-7	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-7	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-7	W1	rep03	0.0999	eq10400_s3270	single0.1	6	10
W1-7	W1	rep04	0.06870000000000001	eq10400_s3270	single0.1	6	10
W1-7	W1	rep05	0.001	eq10400_s3270	single0.1	6	10
W1-7	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-7	W1	rep07	4e-4	eq10400_s3270	single0.1	6	10
W1-7	W1	rep08	0.001	eq10400_s3270	single0.1	6	10
W1-7	W1	rep09	3.0000000000000003e-4	eq10400_s3270	single0.1	6	10
W1-7	W1	rep10	5e-4	eq10400_s3270	single0.1	6	10
W1-8	W1	rep01	0.05889999999999999	eq10400_s3270	single0.1	6	10
W1-8	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-8	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-8	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-8	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-8	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-8	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-8	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-8	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-8	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-9	W1	rep01	0.04779999999999999	eq10400_s3270	single0.1	6	10
W1-9	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-9	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-9	W1	rep04	9.000000000000001e-4	eq10400_s3270	single0.1	6	10
W1-9	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-9	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-9	W1	rep07	0	eq10400_s3270	single0.1	6	10
